CodigoPersona;Clase;Descripción;Fecha de adquisición;Número, cuantía o valor en euros
1;Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.);"Derechos de autor que resulten de la venta por publicación del libro titulado ""YO NO ME CALLO"". Editorial Espasa. Publicación 23/04/2016";;
1;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;PP SANTANDER 2009 IBEX;;16616,95
1;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;PP MI PLAN SAN.MOD;;2068,05
1;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Una acción del Club de Golf;27/12/2007;24000
1;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;SANTANDER MONETARIO PP;;68038,68
1;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;PP SAN DUO 50 P 50;;76013,92
1;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;144 acciones de VISCOFAN;18/05/1998;7945,92
1;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;13 participaciones HAERTELIUS S.L. Valor 13€ capital social;;979,42 € (prima emisión)
2;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Agropecuaria El Rosario SAT, 10 títulos (20%);22/04/1997;6010,12
2;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Agrícola Mecánica SAT, 88.598 títulos (8,5%);09/09/1995;88598
2;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Asesoramiento y Servicios Agronómicos SC (ASYSA, SC) (30%);01/01/1995;901,52
4;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Banco Santander;Anterior 2010;46093,32
5;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro de vida vinculado a la hipoteca de La Caixa;28/02/2006;127500
6;Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.);Fondo de Inversión;;11468
6;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acción Real Sociedad Hípica Club de Campo;;15000
6;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro de Vida Ahorro;;30521
6;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Inditex, Banco Sabadell, Ferrovial, Indra, NH Hoteles;Varias;36090
6;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de Pensiones;;49381
6;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;"Acciones ""El Español""";;500
6;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Banco Santander;;8000
7;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Banco Santander;;1.156 Títulos
7;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Banco Santander;19/12/2008;24997,62
8;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Bankia;25/05/2013;72860,67
9;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Fondos de Inversión (I);26/01/2015;228119
9;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Fondos de Inversión (II);24/10/2014;257021
9;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan Previsión Asegurado;30/12/2009;32210,72
9;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Multiplan Pensiones CX;30/12/1998;81067,45
10;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;TELEFÓNICA S.A. ACCIONES;2016;1.000 Títulos
10;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;TELEFÓNICA S.A. ACCIONES;2004;12.289 Títulos
10;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Póliza Seguro de Vida / Cuota anual;2014;1468
10;Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.);MUCHO MOVE S.L. ARSORBE MAD VIDEO, 10 participaciones;2012-2016;168
10;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;MAB SALMON MUNDI ACCIONES (Antes A.VERDE/FUSIÓN);2010;22.115 Títulos
10;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;TELEFÓNICA S.A. ACCIONES adjudicadas como dividendo;2016;350 Títulos
10;Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.);MAS CONSULTING S.L. (11%) Angel Investor, 14 participaciones;2011;87500
11;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones ASYS S.L. e INTERORGAZ S.L.;1993;10%
11;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro CNP Barclays;;145000
11;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Adagalia Sicav;2003;1600000
11;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Fondos de pensiones Caixa;;285000
11;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Fondos de inversión JP Morgan;2003;3400000
11;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Rentkatus S.L.;2003;722.723 participaciones
11;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Bussola 99 Sicav;2003;800000
12;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;"Planes de Pensiones: procede su modificación ya que por error, en la declaración 2015/076 no se declararon los tres planes de pensiones que a continuación se inscriben, y que ya fueron incorporados a la declaración complementaria 2015/128:
- PC Doble Opción. Importe 5409,61€
- PC Bolsa Euro. Importe 24472,86 €
- PC Diez Ahorro. Importe 16111,96 €";;
12;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones de Caixabank;10/12/2012;468,72
13;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Fondo de inversión;2003;10233
13;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;20% Perales de Tajuña S.L.;2010;25000
13;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;10% Maillo del Valle S.L. (recibido por herencia);2013;68000
13;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones;2009;7309,28
14;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Bankia;;33426,6
15;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Participaciones Pyramidion S.L.;05/03/2008;18748
16;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Bankia;;20000
17;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;;05/07/2012;81973
18;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Iberdrola;;2.539 valores
19;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Participación del 75% en IDIT Gestión, S.L.;2004;30000
19;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones de Bankia, 53 títulos;2011;35,29
19;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones empleados Bankia;1999;74590,53
20;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Planes de pensiones;;120202,42
20;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Planes de pensiones;;71958,17
21;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro de vida Allianz;01/03/2016;150000
22;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;"Cartera de renta variable - Acciones de distintas sociedades en Inversiones Plus / Bankinter.
(Esta cartera de acciones comenzó a nutrirse hace más de cincuenta años con las que mi padre fue adquiriendo en vida para cada una de sus hijas. Acrecieron a ella más adelante las que heredé al fallecimiento de mi padre y después las que he ido adquiriendo en distintas fechas como consecuencia de la gestión ordinaria de la cartera de valores)";;"381.078,55 € 
(total valor cartera a 20/07/2016)"
25;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Mutualidad General de la Abogacía;01/04/2000;33000
29;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Optisoft S.L. (30,80%);19/01/2001;10360
29;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Torrent Software S.L. (42,60%);21/12/2012;2240
29;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Blubster Publishing S.L. (10%);19/11/2004;310
29;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;MP2P Technologies S.A. (100%);01/12/2003;60102
29;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Piolet Networks S.L. (90%);19/11/2002;6440,83
32;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones de Puertos del Estado;01/02/2003;23068,99
33;Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.);Derechos de autor, variables a lo largo del año percibida entre junio y diciembre;;
34;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Socio colaborador Cooperativa de Servicios Financieros COOP 57, S.Coop.C.L.;;350
35;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Cuenta valores Bankia (50%) a 30/06/2016;01/07/1995;27107,57
36;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Catalunya Caixa Vida;26/07/2012;12000
36;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Participación en Galcerán Huguet CB (50%);02/02/2007;50000
36;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones de Iberdrola, Telefónica y Gas Natural;30/12/2006;60000
37;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Participaciones en Casandra, Desarrollo y Animación S.L.;2005;0
37;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Participaciones en Virgen de los Peligros Inversiones S.L.;2005;0
38;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;PPSE (Allianz);2009;9414
40;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro protección familiar (hipoteca);31/05/2011;106514
41;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Hermandad Nacional Arquitectos (HNA);2009;2
41;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro de vida La Caixa (vinculado a préstamo);04/07/2016;368,73
41;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro de vida Banco Sabadell;27/05/2016;50
42;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Diversas acciones;2012;1000
42;Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.);Préstamo a familia (acreedor);2006;200000
42;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Fondo de inversión Ibercaja;2002;6000
46;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Caixabank (asociado a la hipoteca - 100% deuda -);26/05/2016;192500
48;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro de vida VR Hipoteca decreciente. Asociado a Hipoteca CajaMar;10/10/2012;104141,48
48;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Aportaciones capital CajaMar nº 27;28/01/2008;1647
48;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Aportaciones capital CajaMar nº 46;21/01/2008;2806
48;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Banco Santander;;3029
48;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Aportaciones capital CajaMar nº 7;28/01/2008;427
48;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Telefónica;;700
48;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Aportaciones capital CajaMar nº 118;27/06/2006;7198
50;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones La Caixa;2014;18000
51;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de Previsión Social ICAM;2002;29749
52;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Plan de pensiones Ibercaja;24/06/2016;404,92
52;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;Acciones Telefónica (50%);;526,98
56;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Seguro vida renovable Bankinter vinculado amortización crédito hipotecario;06/06/2014;
56;Seguros de vida, planes de pensiones, rentas temporales y vitalicias;Sistema previsión profesional complementario de la Mutualidad Abogacía;;15600
57;Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.);Acción Club de Golf;25/05/2000;
57;Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva;600 acciones Banco Santander;25/06/2010;2286
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;