CódigoPersona;Clase;Marca y modelo;Fecha de adquisición;;;;;;;;;;;;;;;;;;;;;;;
1;Automóviles;Toyota Verso;2013;;;;;;;;;;;;;;;;;;;;;;Inicial;Automóviles
2;Motocicletas;Yamaha X-Max 250 cc;2013;;;;;;;;;;;;;;;;;;;;;;Final;Motocicletas
3;Automóviles;Mercedes Benz clase A;2013;;;;;;;;;;;;;;;;;;;;;;Modificación;Embarcacioes
4;Automóviles;Peugeot 307;2006;;;;;;;;;;;;;;;;;;;;;;;Aeronaves
4;Automóviles;Toyota Yaris;2008;;;;;;;;;;;;;;;;;;;;;;;Otros
5;Automóviles;Audi Q5 (segunda mano);01/10/2013;;;;;;;;;;;;;;;;;;;;;;;
6;Automóviles;Peugeot 5008;01/07/2015;;;;;;;;;;;;;;;;;;;;;;;
7;Automóviles;Volvo XC 60 (segunda mano);20/01/2014;;;;;;;;;;;;;;;;;;;;;;;
8;Automóviles;Mercedes Benz Modelo A180 CDI Elegance;03/10/2005;;;;;;;;;;;;;;;;;;;;;;;
9;Automóviles;Citröen DS 5;2014;;;;;;;;;;;;;;;;;;;;;;;
10;Automóviles;Volkswagen Passat;2001;;;;;;;;;;;;;;;;;;;;;;;
10;Automóviles;Volkswagen Touran;2006;;;;;;;;;;;;;;;;;;;;;;;
11;Automóviles;Toyota Landcruiser;2014;;;;;;;;;;;;;;;;;;;;;;;
11;Automóviles;Volkswagen Golf;1996;;;;;;;;;;;;;;;;;;;;;;;
11;Motocicletas;Triumph Tiger;2016;;;;;;;;;;;;;;;;;;;;;;;
12;Automóviles;Volkswagen Golf 1.6;20/09/2000;;;;;;;;;;;;;;;;;;;;;;;
13;Automóviles;Toyota Verso;2016;;;;;;;;;;;;;;;;;;;;;;;
15;Automóviles;Hyundai Elantra;06/03/2015;;;;;;;;;;;;;;;;;;;;;;;
16;Automóviles;Fiat 500;2010;;;;;;;;;;;;;;;;;;;;;;;
17;Automóviles;Chevrolet Orlando;19/12/2013;;;;;;;;;;;;;;;;;;;;;;;
17;Automóviles;Renault Laguna;2003;;;;;;;;;;;;;;;;;;;;;;;
17;Automóviles;Chrysler Voyager;31/12/2014;;;;;;;;;;;;;;;;;;;;;;;
17;Otros;SYM Quadlander 250;10/11/2006;;;;;;;;;;;;;;;;;;;;;;;
17;Embarcacioes;Lamberty 18 Open;15/02/2009;;;;;;;;;;;;;;;;;;;;;;;
18;Automóviles;Smart;28/12/2000;;;;;;;;;;;;;;;;;;;;;;;
19;Automóviles;Mercedes Benz S320 CDI;2008;;;;;;;;;;;;;;;;;;;;;;;
19;Automóviles;BMW 325i 2p;1997;;;;;;;;;;;;;;;;;;;;;;;
19;Automóviles;Citröen Saxo 1.5 X 3p;2001;;;;;;;;;;;;;;;;;;;;;;;
19;Otros;Bombardier Outlander 400 XT;2009;;;;;;;;;;;;;;;;;;;;;;;
20;Automóviles;Hyundai Terracan;2004;;;;;;;;;;;;;;;;;;;;;;;
21;Automóviles;Mercedes E200 (50%);2008;;;;;;;;;;;;;;;;;;;;;;;
21;Motocicletas;Kymco 125 (50%);2007;;;;;;;;;;;;;;;;;;;;;;;
21;Motocicletas;Suzuky VL800 (50%);2014;;;;;;;;;;;;;;;;;;;;;;;
24;Automóviles;Peugeot;01/02/2016;;;;;;;;;;;;;;;;;;;;;;;
25;Automóviles;Dacia Sandero Stepway;24/04/2015;;;;;;;;;;;;;;;;;;;;;;;
28;Automóviles;Nissan Qashqai;30/10/2008;;;;;;;;;;;;;;;;;;;;;;;
31;Automóviles;BMW 320;01/02/2016;;;;;;;;;;;;;;;;;;;;;;;
32;Automóviles;Citroen C3 50%;01/03/2011;;;;;;;;;;;;;;;;;;;;;;;
32;Automóviles;Citroen Xsara Picasso 50%;01/09/2004;;;;;;;;;;;;;;;;;;;;;;;
36;Automóviles;Lexus;15/11/2011;;;;;;;;;;;;;;;;;;;;;;;
38;Automóviles;Renault Megane;28/04/2010;;;;;;;;;;;;;;;;;;;;;;;
39;Automóviles;Nissan NV200;23/02/2012;;;;;;;;;;;;;;;;;;;;;;;
40;Automóviles;Opel Zafira;01/08/2006;;;;;;;;;;;;;;;;;;;;;;;
41;Automóviles;Opel Astra 5p Club 1.6 SV II 64/55 (cvf);01/05/2015;;;;;;;;;;;;;;;;;;;;;;;
42;Motocicletas;Kymco Venox;01/02/2003;;;;;;;;;;;;;;;;;;;;;;;
43;Automóviles;Nissan Qashqai J10;19/02/2014;;;;;;;;;;;;;;;;;;;;;;;
44;Automóviles;Renault Scenic;30/08/2012;;;;;;;;;;;;;;;;;;;;;;;
45;Automóviles;BMW 116 I;01/02/2005;;;;;;;;;;;;;;;;;;;;;;;
46;Automóviles;Ford Focus;01/02/2008;;;;;;;;;;;;;;;;;;;;;;;
49;Automóviles;Volkswagen Polo;01/07/2002;;;;;;;;;;;;;;;;;;;;;;;
50;Automóviles;Range Rover Evoque;2016;;;;;;;;;;;;;;;;;;;;;;;
52;Automóviles;Toyota Verso Active;29/12/2009;;;;;;;;;;;;;;;;;;;;;;;
53;Automóviles;Seat León TSI;20/03/2016;;;;;;;;;;;;;;;;;;;;;;;
54;Motocicletas;Scooter Honda Scoopy SH;18/06/2009;;;;;;;;;;;;;;;;;;;;;;;
56;Automóviles;Volkswagen Polo TDI;14/10/2005;;;;;;;;;;;;;;;;;;;;;;;