Fecha de declaración,Número Registro,CodigoPersona,Grupo político,Apellido 1,Apellido 2,Nombre,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,,1,Grupo Municipal del Partido Popular,Aguirre,Gil de Biedma,Esperanza,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,2,Grupo Municipal del Partido Popular,Henríquez de Luna,Losada,Iñigo,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,3,Grupo Municipal del Partido Popular,Martínez-Almeida,Navasqüés,José Luis,,,,,,,,,,,,,,,,,,,,,,
13/11/2015,,4,Grupo Municipal del Partido Popular,Delibes,Liniers,Alicia,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,5,Grupo Municipal del Partido Popular,Sanz,Otero,María Inmaculada,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,6,Grupo Municipal del Partido Popular,Manglano,Albacar,Percival Peter,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,7,Grupo Municipal del Partido Popular,Martínez,Vidal,Fernando,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,8,Grupo Municipal del Partido Popular,Elorriaga,Pisarik,Beatriz María,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,9,Grupo Municipal del Partido Popular,Rosell,Volart,Isabel,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,,10,Grupo Municipal del Partido Popular,Moreno,Casas,José Luis,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,11,Grupo Municipal del Partido Popular,Cavero,Martínez de Campos,Pablo,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,12,Grupo Municipal del Partido Popular,Martínez-Cubells,Yraola,María Isabel,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,13,Grupo Municipal del Partido Popular,Maíllo,Del Valle,Almudena,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,14,Grupo Municipal del Partido Popular,Carabante,Muntada,Francisco de Borja,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,15,Grupo Municipal del Partido Popular,González,López,Alvaro,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,16,Grupo Municipal del Partido Popular,Román,Martín,Ana María,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,17,Grupo Municipal del Partido Popular,Fanjul,Fernández-Pita,Francisco de Borja,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,18,Grupo Municipal del Partido Popular,Castell,Díaz,María Carmen,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,2015/104,19,Grupo Municipal del Partido Popular,Moreno,Sánchez,Jesús,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,,20,Grupo Municipal del Partido Popular,Corral,Corral,Pedro María,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,21,Grupo Municipal del Partido Popular,Larrainzar,Zaballa,María Begoña,,,,,,,,,,,,,,,,,,,,,,
6/12/2015,2015/116,22,Grupo Municipal Ahora Madrid,Carmena,Castrillo,Manuela,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/089,23,Grupo Municipal Ahora Madrid,Murgui,Parra,Ignacio,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/096,24,Grupo Municipal Ahora Madrid,Sabanés,Nadal,Inés,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/100,25,Grupo Municipal Ahora Madrid,Valiente,Ots,Mauricio,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/110,26,Grupo Municipal Ahora Madrid,Maestre,Fernández,Rita,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/078,27,Grupo Municipal Ahora Madrid,Carmona,Pascual,Pablo César,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/086,28,Grupo Municipal Ahora Madrid,Higueras,Garrobo,Marta María,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/105,29,Grupo Municipal Ahora Madrid,Soto,Bravo,Pablo,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/102,30,Grupo Municipal Ahora Madrid,Mayer,Duque,Celia,,,,,,,,,,,,,,,,,,,,,,
6/12/2015,2015/115,31,Grupo Municipal Ahora Madrid,García,Castaño,Jorge,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/063,32,Grupo Municipal Ahora Madrid,Gómez,Lahoz,Marta,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/083,33,Grupo Municipal Ahora Madrid,Zapata,Romero,Guillermo,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/090,34,Grupo Municipal Ahora Madrid,Arce,Legua,Rommy,,,,,,,,,,,,,,,,,,,,,,
6/8/2015,2015/065,35,Grupo Municipal Ahora Madrid,Sánchez,Mato,Carlos,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/067,36,Grupo Municipal Ahora Madrid,Galcerán,Huguet,Montserrat,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/069,37,Grupo Municipal Ahora Madrid,Pérez,Ramos,Francisco,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/071,38,Grupo Municipal Ahora Madrid,Gómez,Morante,Esther,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/112,39,Grupo Municipal Ahora Madrid,Barbero,Gutiérrez,José Javier,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/074,40,Grupo Municipal Ahora Madrid,Rodríguez,Martínez,Yolanda,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/073,41,Grupo Municipal Ahora Madrid,Calvo,Del Olmo,José Manuel,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/092,42,Grupo Municipal Socialista de Madrid,Carmona,Sancipriano,Antonio Miguel,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/095,43,Grupo Municipal Socialista de Madrid,Causapié,Lopesino,Purificación,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/57,44,Grupo Municipal Socialista de Madrid,Pérez,Boga,Julio Ransés,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/060,45,Grupo Municipal Socialista de Madrid,González,Fernández,María de las Mercedes,,,,,,,,,,,,,,,,,,,,,,
6/8/2015,2015/038,46,Grupo Municipal Socialista de Madrid,De Benito ,Pérez,Ignacio,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/085,47,Grupo Municipal Socialista de Madrid,Espinar,Mesa-Moles,María del Mar,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/080,48,Grupo Municipal Socialista de Madrid,Dávila,Pérez,José Manuel,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/62,49,Grupo Municipal Socialista de Madrid,Merchán,Mesón,María Carlota,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/061,50,Grupo Municipal Socialista de Madrid,Silva,Buenadicha,Ramón,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/101,51,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Villacís,Sánchez,Begoña,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/072,52,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Redondo ,Rodríguez,Miguel Ángel,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,,53,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Miranda,Esteban,Sofía,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,,54,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Brabezo,Carballo,Sergio,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/084,55,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Domínguez ,Soler,Ana María,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/079,56,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Labrado,Prieto,Bosco,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/088,57,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Saavedra,Ibarrondo,Silvia Elena,,,,,,,,,,,,,,,,,,,,,,
9/27/2016,2016/066,58,Grupo Municipal del Partido Popular,García,Romero,Paloma,,,,,,,,,,,,,,,,,,,,,,Grupo Municipal del Partido Popular
